time,Open,High,Low,Close
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
2026-03-25 13:50:00,54065.05078125,54111.0,53996.25,54021.19921875
2026-03-25 13:55:00,54030.19921875,54076.69921875,53997.1484375,54052.6015625
2026-03-25 14:00:00,54057.94921875,54119.5,54033.19921875,54070.0
2026-03-25 14:05:00,54080.0,54081.1484375,53953.6015625,53974.0
2026-03-25 14:10:00,53973.3515625,54000.19921875,53902.8984375,53907.6484375
2026-03-25 14:15:00,53915.69921875,53927.19921875,53869.6484375,53872.19921875
2026-03-25 14:20:00,53873.05078125,53907.25,53732.75,53748.8984375
2026-03-25 14:25:00,53752.05078125,53841.75,53743.30078125,53825.6015625
2026-03-25 14:30:00,53824.3984375,53869.1015625,53763.8984375,53811.6015625
2026-03-25 14:35:00,53816.3984375,53839.19921875,53765.8515625,53806.19921875
2026-03-25 14:40:00,53806.6484375,53898.25,53804.75,53853.69921875
2026-03-25 14:45:00,53851.75,53881.69921875,53776.1015625,53815.05078125
2026-03-25 14:50:00,53810.55078125,53825.25,53738.5,53759.44921875
2026-03-25 14:55:00,53756.1484375,53783.6015625,53739.3515625,53763.55078125
2026-03-25 15:00:00,53764.5,53859.8984375,53623.8515625,53783.6484375
2026-03-25 15:05:00,53783.6484375,53786.69921875,53659.0,53753.05078125
2026-03-25 15:10:00,53745.6484375,53749.30078125,53657.1015625,53676.1484375
2026-03-25 15:15:00,53676.1015625,53735.94921875,53659.8515625,53666.8515625
2026-03-25 15:20:00,53665.3515625,53703.75,53653.3515625,53687.0
2026-03-25 15:25:00,53692.6015625,53700.5,53653.75,53689.94921875
2026-03-27 09:15:00,53244.25,53259.75,52825.55078125,52842.1484375
2026-03-27 09:20:00,52839.80078125,52955.8515625,52775.6484375,52885.8515625
2026-03-27 09:25:00,52889.55078125,52893.1015625,52800.8984375,52810.69921875
2026-03-27 09:30:00,52813.1015625,52845.6015625,52736.94921875,52742.30078125
2026-03-27 09:35:00,52740.5,52759.6484375,52698.0,52739.0
2026-03-27 09:40:00,52741.1015625,52799.0,52724.30078125,52791.44921875
2026-03-27 09:45:00,52783.6015625,52793.3515625,52715.94921875,52756.5
2026-03-27 09:50:00,52755.19921875,52774.5,52709.94921875,52716.0
2026-03-27 09:55:00,52713.94921875,52721.94921875,52640.8515625,52681.55078125
2026-03-27 10:00:00,52678.5,52774.25,52657.3515625,52759.3515625
2026-03-27 10:05:00,52756.8515625,52759.0,52640.94921875,52716.6015625
2026-03-27 10:10:00,52717.6484375,52717.6484375,52618.3515625,52629.1015625
2026-03-27 10:15:00,52632.3984375,52669.19921875,52597.5,52615.8984375
2026-03-27 10:20:00,52616.1484375,52703.75,52594.75,52680.1484375
2026-03-27 10:25:00,52677.0,52700.30078125,52634.3515625,52691.19921875
2026-03-27 10:30:00,52692.19921875,52761.1484375,52656.80078125,52674.75
2026-03-27 10:35:00,52673.30078125,52757.25,52670.69921875,52751.0
2026-03-27 10:40:00,52751.1015625,52751.75,52639.80078125,52658.5
2026-03-27 10:45:00,52656.1484375,52667.3515625,52603.25,52616.3984375
2026-03-27 10:50:00,52622.3984375,52635.55078125,52559.3984375,52567.0
2026-03-27 10:55:00,52565.44921875,52612.44921875,52537.8984375,52584.30078125
2026-03-27 11:00:00,52584.69921875,52625.75,52536.1015625,52554.3984375
2026-03-27 11:05:00,52556.30078125,52603.1484375,52533.1484375,52584.44921875
2026-03-27 11:10:00,52587.6015625,52610.0,52564.30078125,52591.94921875
2026-03-27 11:15:00,52591.75,52616.55078125,52522.0,52524.05078125
2026-03-27 11:20:00,52528.05078125,52546.1015625,52511.5,52518.80078125
2026-03-27 11:25:00,52523.25,52545.8515625,52435.30078125,52453.94921875
2026-03-27 11:30:00,52455.6484375,52532.25,52447.5,52502.1015625
2026-03-27 11:35:00,52501.69921875,52556.8984375,52494.69921875,52535.8515625
2026-03-27 11:40:00,52536.5,52566.94921875,52477.19921875,52528.80078125
2026-03-27 11:45:00,52528.80078125,52558.1015625,52490.75,52512.8984375
2026-03-27 11:50:00,52514.19921875,52556.3515625,52500.5,52554.75
2026-03-27 11:55:00,52552.44921875,52559.30078125,52509.44921875,52540.55078125
2026-03-27 12:00:00,52537.3515625,52539.05078125,52457.8984375,52511.44921875
2026-03-27 12:05:00,52512.0,52560.3984375,52500.6015625,52513.3515625
2026-03-27 12:10:00,52511.6484375,52530.19921875,52484.94921875,52492.1484375
2026-03-27 12:15:00,52487.3515625,52495.3515625,52428.5,52454.0
2026-03-27 12:20:00,52452.8984375,52515.8984375,52443.25,52515.1015625
2026-03-27 12:25:00,52515.6015625,52614.3984375,52495.44921875,52601.69921875
2026-03-27 12:30:00,52605.25,52605.25,52511.8515625,52583.1484375
2026-03-27 12:35:00,52580.1484375,52594.05078125,52535.8515625,52551.6484375
2026-03-27 12:40:00,52550.6015625,52613.69921875,52542.44921875,52613.69921875
2026-03-27 12:45:00,52607.44921875,52610.44921875,52565.6484375,52599.55078125
2026-03-27 12:50:00,52603.6484375,52668.5,52545.1484375,52605.6484375
2026-03-27 12:55:00,52605.3515625,52618.6015625,52563.1015625,52574.3515625
2026-03-27 13:00:00,52575.30078125,52594.8515625,52563.0,52564.44921875
2026-03-27 13:05:00,52563.8515625,52605.75,52561.6484375,52572.1015625
